ID,mechanism,fold
AAS90606.1,antibiotic inactivation,0
ACH59003.1,antibiotic inactivation,0
ACN18097.1,antibiotic inactivation,0
ACN58946.1,antibiotic target protection,0
ACN58863.1,antibiotic efflux,0
ACH58976.1,antibiotic inactivation,0
ACH58996.1,antibiotic inactivation,0
ACH58997.1,antibiotic inactivation,0
ACN58854.1,antibiotic inactivation,0
ACN58776.1,antibiotic efflux,0
ACN58740.1,antibiotic efflux,0
ACS83734.1,antibiotic target alteration,0
ACS83735.1,antibiotic inactivation,0
ACS83724.1,antibiotic inactivation,0
ACS83726.1,antibiotic inactivation,0
ACT97627.1,antibiotic inactivation,0
ACT97597.1,antibiotic target alteration,0
ACT97590.1,antibiotic target alteration,0
ACT97588.1,antibiotic target alteration,0
ACT97560.1,antibiotic target alteration,0
ACT97551.1,antibiotic target alteration,0
ACT97462.1,antibiotic inactivation,0
ACT97536.1,antibiotic target alteration,0
ACT97457.1,antibiotic efflux,0
ACT97453.1,antibiotic inactivation,0
ACT97451.1,antibiotic inactivation,0
ACT97378.1,antibiotic inactivation,0
ADI87852.1,antibiotic target protection,0
ADI87862.1,antibiotic efflux,0
CBI71204.1,antibiotic target replacement,0
CBI71207.1,antibiotic target replacement,0
CBI71177.1,antibiotic inactivation,0
CBI71180.1,antibiotic inactivation,0
AET35504.1,antibiotic target alteration,0
AET35483.1,antibiotic inactivation,0
AET35514.2,antibiotic inactivation,0
AET35519.1,antibiotic efflux,0
AET35512.1,antibiotic inactivation,0
AET35525.1,antibiotic target protection,0
AFQ60599.1,antibiotic inactivation,0
AFQ60589.1,antibiotic inactivation,0
ACI02045.1,antibiotic inactivation,0
ACI02050.1,antibiotic target alteration,0
AFH53887.1,antibiotic inactivation,0
AFH53886.1,antibiotic inactivation,0
AFH53882.1,antibiotic inactivation,0
AGC09621.1,antibiotic efflux,0
AGC09669.1,antibiotic inactivation,0
AGC09623.1,antibiotic efflux,0
AHN92782.1,antibiotic target protection,0
AHN92781.1,antibiotic target protection,0
AHN92761.1,antibiotic inactivation,0
AHN92760.1,antibiotic inactivation,0
AHN92756.1,antibiotic inactivation,0
AHN92749.1,antibiotic inactivation,0
AHN92742.1,antibiotic inactivation,0
AHN92734.1,antibiotic target alteration,0
AHN92726.1,antibiotic inactivation,0
AHN92723.1,antibiotic inactivation,0
AHN92717.1,antibiotic inactivation,0
AHN92715.1,antibiotic inactivation,0
AHN92706.1,antibiotic inactivation,0
AHN92701.1,antibiotic inactivation,0
AFQ60590.1,antibiotic efflux,0
AIA18797.1,antibiotic efflux,0
AIA17944.1,antibiotic target replacement,0
AIA17945.1,antibiotic target alteration,0
AIA17870.1,antibiotic target replacement,0
AIA16632.1,antibiotic efflux,0
AIA15986.1,antibiotic target alteration,0
AIA13613.1,antibiotic target alteration,0
AIA13096.1,antibiotic efflux,0
AIA12303.1,antibiotic inactivation,0
AIA10807.1,antibiotic target alteration,0
AIA10578.1,antibiotic target replacement,0
AIA19226.1,antibiotic efflux,0
AIA16810.1,antibiotic efflux,0
AIA15439.1,antibiotic efflux,0
AIA15428.1,antibiotic inactivation,0
AIA15373.1,antibiotic efflux,0
AIA15128.1,antibiotic efflux,0
AIA15069.1,antibiotic efflux,0
AIA14794.1,antibiotic efflux,0
AIA14664.1,antibiotic efflux,0
AIA19282.1,antibiotic target alteration,0
AIA19279.1,antibiotic target alteration,0
AIA19269.1,antibiotic efflux,0
AIA19255.1,antibiotic target replacement,0
AIA19252.1,antibiotic target alteration,0
AIA19211.1,antibiotic target replacement,0
AIA19181.1,antibiotic target alteration,0
AIA19036.1,antibiotic target alteration,0
AIA19018.1,antibiotic target alteration,0
AIA18994.1,antibiotic target replacement,0
AIA18962.1,antibiotic target replacement,0
AIA18952.1,antibiotic target replacement,0
AIA18938.1,antibiotic efflux,0
AIA18877.1,antibiotic target replacement,0
AIA18815.1,antibiotic target replacement,0
AIA18748.1,antibiotic target replacement,0
AIA18743.1,antibiotic target alteration,0
AIA18745.1,antibiotic target replacement,0
AIA18702.1,antibiotic target replacement,0
AIA18704.1,antibiotic target alteration,0
AIA18624.1,antibiotic target replacement,0
AIA18506.1,antibiotic target alteration,0
AIA18502.1,antibiotic target replacement,0
AIA18377.1,antibiotic target alteration,0
AIA18353.1,antibiotic target replacement,0
AIA18332.1,antibiotic target alteration,0
AIA18291.1,antibiotic target alteration,0
AIA18252.1,antibiotic target replacement,0
AIA18239.1,antibiotic target alteration,0
AIA18238.1,antibiotic target alteration,0
AIA18235.1,antibiotic target alteration,0
AIA18150.1,antibiotic target replacement,0
AIA18120.1,antibiotic target replacement,0
AIA18081.1,antibiotic target alteration,0
AIA18062.1,antibiotic target alteration,0
AIA18031.1,antibiotic target replacement,0
AIA17960.1,antibiotic inactivation,0
AIA17922.1,antibiotic target alteration,0
AIA17901.1,antibiotic target alteration,0
AIA17873.1,antibiotic target replacement,0
AIA17850.1,antibiotic target replacement,0
AIA17847.1,antibiotic target alteration,0
AIA17740.1,antibiotic target alteration,0
AIA17566.1,antibiotic target replacement,0
AIA17567.1,antibiotic target alteration,0
AIA17550.1,antibiotic target alteration,0
AIA17504.1,antibiotic target alteration,0
AIA17487.1,antibiotic efflux,0
AIA17460.1,antibiotic efflux,0
AIA17404.1,antibiotic target alteration,0
AIA17326.1,antibiotic target alteration,0
AIA17314.1,antibiotic target replacement,0
AIA17306.1,antibiotic target replacement,0
AIA17307.1,antibiotic target alteration,0
AIA17262.1,antibiotic target alteration,0
AIA17103.1,antibiotic target alteration,0
AIA17073.1,antibiotic target replacement,0
AIA17071.1,antibiotic target replacement,0
AIA17068.1,antibiotic target alteration,0
AIA16983.1,antibiotic efflux,0
AIA16957.1,antibiotic efflux,0
AIA16920.1,antibiotic target replacement,0
AIA16917.1,antibiotic target replacement,0
AIA16904.1,antibiotic target alteration,0
AIA16876.1,antibiotic efflux,0
AIA16846.1,antibiotic target alteration,0
AIA16832.1,antibiotic target alteration,0
AIA16764.1,antibiotic target replacement,0
AIA16757.1,antibiotic target alteration,0
AIA16678.1,antibiotic target replacement,0
AIA16654.1,antibiotic efflux,0
AIA16609.1,antibiotic target alteration,0
AIA16514.1,antibiotic target replacement,0
AIA16476.1,antibiotic target alteration,0
AIA16474.1,antibiotic target alteration,0
AIA16432.1,antibiotic inactivation,0
AIA16389.1,antibiotic target alteration,0
AIA16367.1,antibiotic efflux,0
AIA16343.1,antibiotic target alteration,0
AIA16322.1,antibiotic target replacement,0
AIA16148.1,antibiotic target alteration,0
AIA16139.1,antibiotic target replacement,0
AIA16140.1,antibiotic target alteration,0
AIA16084.1,antibiotic target replacement,0
AIA16020.1,antibiotic target alteration,0
AIA15975.1,antibiotic efflux,0
AIA15894.1,antibiotic target replacement,0
AIA15890.1,antibiotic inactivation,0
AIA15858.1,antibiotic target replacement,0
AIA15842.1,antibiotic target alteration,0
AIA15833.1,antibiotic inactivation,0
AIA15819.1,antibiotic target replacement,0
AIA15803.1,antibiotic target replacement,0
AIA15801.1,antibiotic target replacement,0
AIA15746.1,antibiotic target alteration,0
AIA15699.1,antibiotic target replacement,0
AIA15700.1,antibiotic target replacement,0
AIA15611.1,antibiotic inactivation,0
AIA15608.1,antibiotic target alteration,0
AIA15593.1,antibiotic target alteration,0
AIA15500.1,antibiotic target replacement,0
AIA15477.1,antibiotic target alteration,0
AIA15417.1,antibiotic target alteration,0
AIA15280.1,antibiotic target replacement,0
AIA15211.1,antibiotic target replacement,0
AIA15212.1,antibiotic target alteration,0
AIA15135.1,antibiotic efflux,0
AIA15081.1,antibiotic target alteration,0
AIA15033.1,antibiotic target replacement,0
AIA15035.1,antibiotic target alteration,0
AIA15026.1,antibiotic target alteration,0
AIA14931.1,antibiotic target alteration,0
AIA14885.1,antibiotic target replacement,0
AIA14859.1,antibiotic target alteration,0
AIA14843.1,antibiotic target alteration,0
AIA14729.1,antibiotic target alteration,0
AIA14726.1,antibiotic target replacement,0
AIA14598.1,antibiotic target replacement,0
AIA14589.1,antibiotic inactivation,0
AIA14583.1,antibiotic efflux,0
AIA14482.1,antibiotic target alteration,0
AIA14475.1,antibiotic target alteration,0
AIA14452.1,antibiotic efflux,0
AIA14401.1,antibiotic inactivation,0
AIA14396.1,antibiotic efflux,0
AIA14382.1,antibiotic efflux,0
AIA14312.1,antibiotic target replacement,0
AIA14285.1,antibiotic target alteration,0
AIA14271.1,antibiotic target alteration,0
AIA14221.1,antibiotic target alteration,0
AIA14212.1,antibiotic target replacement,0
AIA14201.1,antibiotic efflux,0
AIA14166.1,antibiotic efflux,0
AIA14106.1,antibiotic efflux,0
AIA14097.1,antibiotic target replacement,0
AIA14079.1,antibiotic efflux,0
AIA14059.1,antibiotic target replacement,0
AIA14028.1,antibiotic target alteration,0
AIA14031.1,antibiotic target alteration,0
AIA14008.1,antibiotic efflux,0
AIA13969.1,antibiotic target alteration,0
AIA13883.1,antibiotic target replacement,0
AIA13884.1,antibiotic target alteration,0
AIA13879.1,antibiotic target alteration,0
AIA13862.1,antibiotic target replacement,0
AIA13782.1,antibiotic target replacement,0
AIA13772.1,antibiotic target alteration,0
AIA13715.1,antibiotic inactivation,0
AIA13708.1,antibiotic target replacement,0
AIA13617.1,antibiotic target replacement,0
AIA13587.1,antibiotic target alteration,0
AIA13552.1,antibiotic target alteration,0
AIA13389.1,antibiotic target replacement,0
AIA13383.1,antibiotic efflux,0
AIA13366.1,antibiotic target alteration,0
AIA13360.1,antibiotic target alteration,0
AIA13345.1,antibiotic target replacement,0
AIA13337.1,antibiotic target replacement,0
AIA13315.1,antibiotic target replacement,0
AIA13273.1,antibiotic target alteration,0
AIA13267.1,antibiotic target alteration,0
AIA13252.1,antibiotic efflux,0
AIA13254.1,antibiotic efflux,0
AIA13211.1,antibiotic target alteration,0
AIA13197.1,antibiotic target alteration,0
AIA13196.1,antibiotic target alteration,0
AIA13184.1,antibiotic target alteration,0
AIA13158.1,antibiotic target alteration,0
AIA13078.1,antibiotic inactivation,0
AIA13015.1,antibiotic target replacement,0
AIA12839.1,antibiotic target alteration,0
AIA12826.1,antibiotic efflux,0
AIA12811.1,antibiotic efflux,0
AIA12807.1,antibiotic efflux,0
AIA12575.1,antibiotic target replacement,0
AIA12510.1,antibiotic target replacement,0
AIA12480.1,antibiotic target alteration,0
AIA12361.1,antibiotic target replacement,0
AIA12358.1,antibiotic target replacement,0
AIA12328.1,antibiotic target alteration,0
AIA12306.1,antibiotic target alteration,0
AIA12226.1,antibiotic target replacement,0
AIA12153.1,antibiotic efflux,0
AIA12152.1,antibiotic efflux,0
AIA12149.1,antibiotic efflux,0
AIA12147.1,antibiotic efflux,0
AIA12093.1,antibiotic efflux,0
AIA12052.1,antibiotic efflux,0
AIA12008.1,antibiotic target alteration,0
AIA11996.1,antibiotic target replacement,0
AIA11892.1,antibiotic target alteration,0
AIA11888.1,antibiotic target alteration,0
AIA11839.1,antibiotic target alteration,0
AIA11791.1,antibiotic target alteration,0
AIA11788.1,antibiotic efflux,0
AIA11772.1,antibiotic target alteration,0
AIA11673.1,antibiotic target alteration,0
AIA11650.1,antibiotic target replacement,0
AIA11472.1,antibiotic target alteration,0
AIA11154.1,antibiotic target alteration,0
AIA11143.1,antibiotic target alteration,0
AIA11127.1,antibiotic target replacement,0
AIA11078.1,antibiotic target alteration,0
